Name,Team,Position
Trae Young,ATL,PG
Clint Capela,ATL,C
DeAndre Hunter,ATL,SF
Zaccharie Risacher,ATL,SF
Jalen Johnson,ATL,PF
Bogdan Bogdanovic,ATL,SG
Onyeka Okongwu,ATL,C
Dyson Daniels,ATL,SG
Dorian Finney-Smith,BKN,PF
Dennis Schroder,BKN,PG
Ben Simmons,BKN,PG
DayRon Sharpe,BKN,C
Cam Johnson,BKN,SF
Jalen Wilson,BKN,SF
Nic Claxton,BKN,C
Cam Thomas,BKN,SG
Sam Hauser,BOS,SF
Al Horford,BOS,C
Derrick White,BOS,SG
Jrue Holiday,BOS,PG
Jaylen Brown,BOS,SF
Jayson Tatum,BOS,PF
Payton Pritchard,BOS,PG
Luke Kornet,BOS,C
Tre Mann,CHA,SG
Josh Green,CHA,SF
Miles Bridges,CHA,PF
LaMelo Ball,CHA,PG
Grant Williams,CHA,PF
Mark Williams,CHA,C
Brandon Miller,CHA,SG
Nick Richards,CHA,C
Jalen Smith,CHI,C
Josh Giddey,CHI,PG
Patrick Williams,CHI,PF
Ayo Dosunmu,CHI,SG
Zach LaVine,CHI,SF
Coby White,CHI,SG
Nikola Vucevic,CHI,C
Matas Buzelis,CHI,SF
Darius Garland,CLE,PG
Max Strus,CLE,SF
Evan Mobley,CLE,PF
Jarrett Allen,CLE,C
Caris LeVert,CLE,SG
Isaac Okoro,CLE,SF
Donovan Mitchell,CLE,SG
Dean Wade,CLE,C
Klay Thompson,DAL,SF
Luka Doncic,DAL,PG
PJ Washington,DAL,PF
Kyrie Irving,DAL,SG
Naji Marshall,DAL,PF
Dereck Lively II,DAL,C
Daniel Gafford,DAL,C
Maxi Kleber,DAL,PF
Nikola Jokic,DEN,C
Michael Porter Jr,DEN,SF
Russell Westbrook,DEN,PG
Jamal Murray,DEN,PG
Aaron Gordon,DEN,PF
Peyton Watson,DEN,PF
Christian Braun,DEN,SG
Dario Saric,DEN,PF
Isaiah Stewart,DET,C
Simone Fontecchio,DET,SF
Cade Cunningham,DET,PG
Tobias Harris,DET,PF
Jalen Duren,DET,C
Jaden Ivey,DET,SG
Malik Beasley,DET,SF
Ausar Thompson,DET,SF
Kyle Anderson,GSW,PF
DeAnthony Melton,GSW,PG
Draymond Green,GSW,PF
Steph Curry,GSW,PG
Buddy Hield,GSW,SG
Jonathan Kuminga,GSW,PF
Andrew Wiggins,GSW,SF
Brandin Podziemski,GSW,SG
Fred VanVleet,HOU,PG
Jabari Smith Jr,HOU,PF
Dillon Brooks,HOU,SF
Jalen Green,HOU,SG
Tari Eason,HOU,PF
Amen Thompson,HOU,PG
Alperen Sengun,HOU,C
Reed Sheppard,HOU,SG
Aaron Nesmith,IND,SF
Myles Turner,IND,C
Obi Toppin,IND,PF
Bennedict Mathurin,IND,SF
Andrew Nembhard,IND,SG
TJ McConnell,IND,PG
Tyrese Haliburton,IND,PG
Pascal Siakam,IND,PF
Kawhi Leonard,LAC,PF
Nic Batum,LAC,SF
Derrick Jones Jr,LAC,SF
James Harden,LAC,PG
Norman Powell,LAC,SG
Amir Coffey,LAC,SF
Terance Mann,LAC,SG
Ivica Zubac,LAC,C
DAngelo Russell,LAL,PG
Max Christie,LAL,SG
Dalton Knecht,LAL,SF
Jarred Vanderbilt,LAL,PF
LeBron James,LAL,SF
Austin Reaves,LAL,SG
Anthony Davis,LAL,C
Rui Hachimura,LAL,PF
Brandon Clarke,MEM,C
Marcus Smart,MEM,SG
Jaren Jackson Jr,MEM,PF
Ja Morant,MEM,PG
Scotty Pippen Jr,MEM,PG
Desmond Bane,MEM,SF
Vince Williams Jr,MEM,SF
Zach Edey,MEM,C
Alec Burks,MIA,SG
Nikola Jovic,MIA,PF
Tyler Herro,MIA,SG
Bam Adebayo,MIA,C
Terry Rozier,MIA,PG
Jaime Jaquez Jr,MIA,SF
Jimmy Butler,MIA,SF
Duncan Robinson,MIA,SF
Giannis Antetokounmpo,MIL,PF
Khris Middleton,MIL,SF
Bobby Portis,MIL,PF
Taurean Prince,MIL,SF
Brook Lopez,MIL,C
Damian Lillard,MIL,PG
Delon Wright,MIL,PG
Gary Trent Jr,MIL,SF
Mike Conley,MIN,PG
Julius Randle,MIN,PF
Rudy Gobert,MIN,C
Anthony Edwards,MIN,SG
Naz Reid,MIN,C
Donte DiVincenzo,MIN,SG
Jaden McDaniels,MIN,SF
Nickeil Alexander-Walker,MIN,SG
CJ McCollum,NOP,SG
Dejounte Murray,NOP,PG
Brandon Ingram,NOP,SF
Jose Alvarado,NOP,PG
Herb Jones,NOP,PF
Zion Williamson,NOP,PF
Daniel Theis,NOP,C
Trey Murphy III,NOP,SF
Karl-Anthony Towns,NYK,C
Cam Payne,NYK,PG
Precious Achiuwa,NYK,PF
OG Anunoby,NYK,PF
Josh Hart,NYK,SG
Jalen Brunson,NYK,PG
Deuce McBride,NYK,PG
Mikal Bridges,NYK,SF
Lu Dort,OKC,SF
Isaiah Joe,OKC,SG
Alex Caruso,OKC,SG
Shai Gilgeous-Alexander,OKC,PG
Chet Holmgren,OKC,PF
Cason Wallace,OKC,PG
Jalen Williams,OKC,SF
Isaiah Hartenstein,OKC,C
Franz Wagner,ORL,SF
Paolo Banchero,ORL,PF
Kentavious Caldwell-Pope,ORL,SG
Jonathan Isaac,ORL,PF
Jalen Suggs,ORL,PG
Moe Wagner,ORL,C
Cole Anthony,ORL,PG
Wendell Carter Jr,ORL,C
Andre Drummond,PHI,C
Joel Embiid,PHI,C
Tyrese Maxey,PHI,PG
Kyle Lowry,PHI,PG
Eric Gordon,PHI,SG
Paul George,PHI,SF
Kelly Oubre,PHI,SG
Caleb Martin,PHI,PF
Jusuf Nurkic,PHX,C
Mason Plumlee,PHX,C
Grayson Allen,PHX,SG
Tyus Jones,PHX,PG
Kevin Durant,PHX,PF
Bradley Beal,PHX,SF
Royce ONeale,PHX,SF
Devin Booker,PHX,SG
Anfernee Simons,POR,PG
Shaedon Sharpe,POR,SG
Dalano Banton,POR,SF
Scoot Henderson,POR,PG
DeAndre Ayton,POR,C
Donovan Clingan,POR,C
Deni Avdija,POR,SF
Jerami Grant,POR,PF
Kevin Huerter,SAC,SG
Keegan Murray,SAC,PF
Malik Monk,SAC,SG
Keon Ellis,SAC,SG
Domantas Sabonis,SAC,C
DeAaron Fox,SAC,PG
Trey Lyles,SAC,PF
DeMar DeRozan,SAC,SF
Chris Paul,SAS,PG
Keldon Johnson,SAS,SF
Victor Wembanyama,SAS,C
Harrison Barnes,SAS,SF
Julian Champagnie,SAS,SG
Devin Vassell,SAS,SG
Jeremy Sochan,SAS,PF
Tre Jones,SAS,PG
Immanuel Quickley,TOR,PG
Kelly Olynyk,TOR,C
RJ Barrett,TOR,SF
Ochai Agbaji,TOR,SG
Jakob Poeltl,TOR,C
Scottie Barnes,TOR,PF
Davion Mitchell,TOR,SG
Gradey Dick,TOR,SG
Taylor Hendricks,UTA,PF
John Collins,UTA,PF
Collin Sexton,UTA,PG
Cody Williams,UTA,SF
Jordan Clarkson,UTA,SG
Walker Kessler,UTA,C
Lauri Markkanen,UTA,SF
Keyonte George,UTA,PG
Alex Sarr,WAS,PF
Corey Kispert,WAS,SF
Jonas Valanciunas,WAS,C
Bub Carrington,WAS,PG
Bilal Coulibaly,WAS,SF
Jordan Poole,WAS,SG
Kyle Kuzma,WAS,PF
Malcolm Brogdon,WAS,PG
