Team,pg_points,pg_rebounds,pg_assists,sg_points,sg_rebounds,sg_assists,sf_points,sf_rebounds,sf_assists,pf_points,pf_rebounds,pf_assists,c_points,c_rebounds,c_assists
Hawks,18,13,24,27,17,27,28,15,24,29,18,26,16,23,14
Celtics,19,22,9,3,4,1,1,24,3,4,9,5,9,3,11
Nets,20,16,13,16,23,8,20,27,4,8,16,16,5,18,8
Hornets,8,25,27,11,25,23,23,10,29,24,27,28,28,29,9
Bulls,12,4,22,7,18,16,17,5,27,15,29,11,12,14,20
Cavs,3,5,2,2,13,2,21,26,25,22,7,6,3,13,4
Mavs,10,28,12,20,29,14,18,25,28,16,12,12,8,6,5
Nuggets,1,8,4,9,2,25,7,4,16,10,20,7,23,10,12
Pistons,26,7,25,19,11,10,26,23,23,28,8,19,24,22,27
Warriors,7,3,10,26,10,20,12,12,8,27,26,14,19,20,29
Rockets,30,19,3,13,27,9,5,14,7,6,21,9,17,15,3
Pacers,17,17,1,30,14,3,27,28,20,26,17,1,7,8,17
Clippers,21,18,11,24,9,12,9,8,11,11,6,13,6,19,22
Lakers,28,21,19,22,24,26,19,6,15,13,22,29,18,21,30
Grizzlies,9,27,15,6,15,28,15,19,13,20,28,18,22,25,6
Heat,2,9,16,18,19,11,16,21,19,7,14,21,1,11,1
Bucks,27,20,17,29,30,13,4,13,10,14,10,15,21,7,26
Wolves,4,15,7,4,5,6,3,3,1,2,1,2,14,4,23
Pelicans,15,1,5,12,6,22,14,18,17,1,15,20,13,16,18
Knicks,6,6,23,1,1,5,13,11,12,9,5,10,10,1,2
Thunder,5,23,18,17,20,17,6,9,9,17,23,8,20,28,25
Magic,25,14,8,5,8,4,2,1,2,5,2,3,2,5,10
Sixers,11,2,14,10,7,7,8,30,6,18,25,22,15,17,7
Suns,24,24,26,8,16,19,10,7,5,21,3,4,11,2,16
Blazers,22,12,20,15,22,15,22,17,14,3,11,27,27,27,28
Kings,13,10,6,23,3,18,25,16,26,19,13,23,4,12,15
Spurs,29,29,21,21,12,29,11,22,18,12,19,17,30,26,19
Raptors,14,11,28,14,21,21,30,20,22,23,30,24,26,24,24
Jazz,16,26,30,25,26,30,24,2,21,30,4,30,25,9,21
Wizards,23,30,29,28,28,24,29,29,30,25,24,25,29,30,13
